,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
11,frozenset({'Fire extinguisher'}),frozenset({'First aid kit'}),0.4145673381819163,0.3714968088407929,0.25299888005829096,0.610272099986981,1.6427384716742388,0.09898843687408726,1.612671792648696,0.6683268653436898
12,frozenset({'cleaning_fee_True'}),frozenset({'Fire extinguisher'}),0.7340745638299307,0.4145673381819163,0.32510693419330466,0.44287998823594293,1.0682944541125494,0.020783596239279056,1.050819660856155,0.2404000667570052
13,frozenset({'Fire extinguisher'}),frozenset({'cleaning_fee_True'}),0.4145673381819163,0.7340745638299307,0.32510693419330466,0.7842077854446036,1.0682944541125492,0.020783596239279056,1.2323217346740887,0.1091987119562786
14,frozenset({'cleaning_fee_True'}),frozenset({'Cable TV'}),0.7340745638299307,0.32725236469619895,0.2617290280795024,0.3565428377111557,1.0895042364083396,0.02150139120282671,1.0455204708744985,0.3089262326737917
15,frozenset({'Cable TV'}),frozenset({'cleaning_fee_True'}),0.32725236469619895,0.7340745638299307,0.2617290280795024,0.7997773471323135,1.0895042364083394,0.02150139120282671,1.3281486003774072,0.12211316526004026
16,frozenset({'cleaning_fee_True'}),frozenset({'First aid kit'}),0.7340745638299307,0.3714968088407929,0.2915221761951667,0.39712883480690403,1.0689966248864762,0.018815818281150476,1.0425165896894428,0.2427122143912081
17,frozenset({'First aid kit'}),frozenset({'cleaning_fee_True'}),0.3714968088407929,0.7340745638299307,0.2915221761951667,0.7847232311492081,1.0689966248864762,0.018815818281150476,1.2352723314719658,0.10269375300504369
18,frozenset({'cleaning_fee_True'}),frozenset({'Free parking on premises'}),0.7340745638299307,0.31896749470389013,0.2498954271295759,0.34042240317629546,1.0672636203645853,0.015749502578892016,1.0325282553193509,0.2370001673460602
19,frozenset({'Free parking on premises'}),frozenset({'cleaning_fee_True'}),0.31896749470389013,0.7340745638299307,0.2498954271295759,0.7834510766106857,1.0672636203645853,0.015749502578892016,1.2280155080336523,0.09254238583880477
20,frozenset({'24-hour check-in'}),frozenset({'cleaning_fee_True'}),0.2565745975631148,0.7340745638299307,0.21563600545128253,0.84044175650802,1.1448997117174764,0.02729111965529904,1.6666355203605363,0.17024041871924167
21,frozenset({'cleaning_fee_True'}),frozenset({'24-hour check-in'}),0.7340745638299307,0.2565745975631148,0.21563600545128253,0.29375218278403764,1.1448997117174764,0.02729111965529904,1.0526409913272048,0.47592683731252977
22,frozenset({'translation missing: en.hosting_amenity_49'}),frozenset({'cleaning_fee_True'}),0.2756270998907045,0.7340745638299307,0.20243958386744207,0.734469085034513,1.000537440232943,0.00010874073546440766,1.0014857825674783,0.0007415400907597673
23,frozenset({'cleaning_fee_True'}),frozenset({'translation missing: en.hosting_amenity_49'}),0.7340745638299307,0.2756270998907045,0.20243958386744207,0.27577523298347517,1.000537440232943,0.00010874073546440766,1.0002045402194417,0.0020199329324308577
24,frozenset({'cancellation_policy_moderate'}),frozenset({'cleaning_fee_True'}),0.257222274696064,0.7340745638299307,0.2062851668443281,0.8019724072811205,1.0924944778047374,0.017464837739472272,1.3428706197907365,0.11398237001249696
25,frozenset({'cleaning_fee_True'}),frozenset({'cancellation_policy_moderate'}),0.7340745638299307,0.257222274696064,0.2062851668443281,0.28101391467382314,1.0924944778047372,0.017464837739472272,1.0330905430067756,0.31837332577876665
26,frozenset({'cleaning_fee_True'}),frozenset({'cancellation_policy_strict'}),0.7340745638299307,0.4368312396270459,0.37515348598723536,0.5110563755675238,1.1699171881659591,0.05448678429072368,1.1518071455101435,0.5461630445806478
27,frozenset({'cancellation_policy_strict'}),frozenset({'cleaning_fee_True'}),0.4368312396270459,0.7340745638299307,0.37515348598723536,0.8588064496200655,1.1699171881659591,0.05448678429072368,1.883410647685369,0.25789542330774634
